LOT_NO,feature,mean_abs_shap
HZC03,건조로_온도_2_Zone_max,1.221221685409546e-06
HZC03,솔트조_온도_1_Zone_mean,8.024404942989349e-07
HZC04,소입로_온도_1_Zone_mean,1.7643359899520874e-05
HZC04,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZC04,소입로_온도_2_Zone_max,5.883996486663818e-06
HZC04,솔트조_온도_1_Zone_min,5.626532435417175e-06
HZC04,세정기_std,3.893754482269287e-06
HZC04,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZC04,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
HZC04,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZC04,솔트조_온도_2_Zone_std,1.2715685367584227e-06
HZC04,소입로_온도_4_Zone_max,1.0223627090454102e-07
HZC05,건조로_온도_2_Zone_max,1.2479939460754394e-05
HZC05,소입로_온도_1_Zone_mean,9.874169826507568e-06
HZC05,소입로_온도_4_Zone_range,8.14973533153534e-06
HZC05,소입로_온도_2_Zone_max,5.883996486663818e-06
HZC05,솔트조_온도_1_Zone_min,5.063878297805786e-06
HZC05,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZC05,세정기_std,2.0983535051345824e-06
HZC05,솔트조_온도_1_Zone_mean,8.592285960912705e-07
HZC05,솔트조_온도_2_Zone_std,2.2105216979980468e-07
HZC05,소입로_온도_4_Zone_max,1.0223627090454102e-07
HZC06,소입로_온도_1_Zone_mean,1.2148756980895996e-05
HZC06,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZC06,소입로_온도_2_Zone_max,5.883996486663818e-06
HZC06,솔트조_온도_1_Zone_min,5.626532435417175e-06
HZC06,세정기_std,3.893754482269287e-06
HZC06,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZC06,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZC06,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZC06,솔트조_온도_2_Zone_std,1.2715685367584227e-06
HZC06,소입로_온도_4_Zone_max,1.0223627090454102e-07
HZC07,소입로_온도_1_Zone_mean,1.4431631565093994e-05
HZC07,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZC07,소입로_온도_4_Zone_max,7.603881955146789e-06
HZC07,솔트조_온도_1_Zone_min,5.063878297805786e-06
HZC07,소입로_온도_2_Zone_max,3.4285029768943788e-06
HZC07,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZC07,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
HZC07,세정기_std,2.0983535051345824e-06
HZC07,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZC07,솔트조_온도_2_Zone_std,2.2105216979980468e-07
HZC08,소입로_온도_1_Zone_mean,1.2148756980895996e-05
HZC08,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZC08,소입로_온도_2_Zone_max,5.883996486663818e-06
HZC08,솔트조_온도_1_Zone_min,5.626532435417175e-06
HZC08,세정기_std,3.893754482269287e-06
HZC08,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZC08,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZC08,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZC08,솔트조_온도_2_Zone_std,1.2715685367584227e-06
HZC08,소입로_온도_4_Zone_max,1.0223627090454102e-07
HZC09,솔트_컨베이어_온도_2_Zone_std,1.1834533214569092e-05
HZC09,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZC09,소입로_온도_2_Zone_max,5.883996486663818e-06
HZC09,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZC09,소입로_온도_1_Zone_mean,2.4028563499450684e-06
HZC09,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZC09,솔트조_온도_1_Zone_min,1.8315698206424713e-06
HZC09,솔트조_온도_2_Zone_std,1.2193256616592408e-06
HZC09,세정기_std,9.981462359428406e-07
HZC09,소입로_온도_4_Zone_max,1.0223627090454102e-07
HZC11,소입로_온도_1_Zone_mean,2.8487749099731444e-05
HZC11,솔트_컨베이어_온도_2_Zone_std,1.1834533214569092e-05
HZC11,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZC11,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZC11,소입로_온도_2_Zone_max,2.9614096879959107e-06
HZC11,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZC11,소입로_온도_4_Zone_max,1.980932950973511e-06
HZC11,솔트조_온도_1_Zone_min,1.8315698206424713e-06
HZC11,솔트조_온도_2_Zone_std,1.6433188319206238e-06
HZC11,세정기_std,9.981462359428406e-07
HZC12,소입로_온도_1_Zone_mean,2.1013641357421876e-05
HZC12,소입로_온도_4_Zone_max,1.2961578369140626e-05
HZC12,솔트_컨베이어_온도_2_Zone_std,1.1834533214569092e-05
HZC12,소입로_온도_4_Zone_range,7.704187035560607e-06
HZC12,솔트조_온도_2_Zone_std,3.687606155872345e-06
HZC12,소입로_온도_2_Zone_max,3.6147770285606386e-06
HZC12,솔트조_온도_1_Zone_mean,2.4073214828968046e-06
HZC12,솔트조_온도_1_Zone_min,1.8315698206424713e-06
HZC12,세정기_std,9.981462359428406e-07
HZC12,건조로_온도_2_Zone_max,9.743168950080872e-07
HZC14,소입로_온도_1_Zone_mean,3.451058626174927e-05
HZC14,소입로_온도_4_Zone_max,1.1969337463378907e-05
HZC14,솔트_컨베이어_온도_2_Zone_std,1.1834533214569092e-05
HZC14,건조로_온도_2_Zone_max,4.884887337684631e-06
HZC14,소입로_온도_4_Zone_range,4.746114015579224e-06
HZC14,소입로_온도_2_Zone_max,2.0779705047607423e-06
HZC14,솔트조_온도_1_Zone_min,2.0350778102874758e-06
HZC14,세정기_std,1.4325207471847534e-06
HZC14,솔트조_온도_2_Zone_std,8.078090846538544e-07
HZC14,솔트조_온도_1_Zone_mean,4.938095062971115e-07
HZC15,소입로_온도_1_Zone_mean,3.359283447265625e-05
HZC15,소입로_온도_4_Zone_range,1.697861671447754e-05
HZC15,솔트_컨베이어_온도_2_Zone_std,1.1834533214569092e-05
HZC15,소입로_온도_4_Zone_max,9.073290824890137e-06
HZC15,건조로_온도_2_Zone_max,4.884887337684631e-06
HZC15,소입로_온도_2_Zone_max,2.776321768760681e-06
HZC15,솔트조_온도_1_Zone_min,1.8315698206424713e-06
HZC15,세정기_std,9.981462359428406e-07
HZC15,솔트조_온도_2_Zone_std,5.596555396914482e-07
HZC15,솔트조_온도_1_Zone_mean,4.938095062971115e-07
HZC16,소입로_온도_1_Zone_mean,3.8732049465179444e-05
HZC16,소입로_온도_4_Zone_max,1.2961578369140626e-05
HZC16,솔트_컨베이어_온도_2_Zone_std,1.0143885612487793e-05
HZC16,건조로_온도_2_Zone_max,4.884887337684631e-06
HZC16,소입로_온도_4_Zone_range,4.746114015579224e-06
HZC16,소입로_온도_2_Zone_max,2.21650168299675e-06
HZC16,솔트조_온도_1_Zone_min,1.8315698206424713e-06
HZC16,솔트조_온도_2_Zone_std,1.6433188319206238e-06
HZC16,세정기_std,9.981462359428406e-07
HZC16,솔트조_온도_1_Zone_mean,4.938095062971115e-07
HZC17,소입로_온도_1_Zone_mean,3.229201555252075e-05
HZC17,소입로_온도_4_Zone_max,1.2961578369140626e-05
HZC17,솔트_컨베이어_온도_2_Zone_std,1.1834533214569092e-05
HZC17,소입로_온도_4_Zone_range,1.116085410118103e-05
HZC17,소입로_온도_2_Zone_max,2.21650168299675e-06
HZC17,솔트조_온도_1_Zone_min,2.0350778102874758e-06
HZC17,솔트조_온도_2_Zone_std,1.891472339630127e-06
HZC17,세정기_std,1.4325207471847534e-06
HZC17,건조로_온도_2_Zone_max,1.221221685409546e-06
HZC17,솔트조_온도_1_Zone_mean,8.024404942989349e-07
HZD01,소입로_온도_1_Zone_mean,1.2788045406341552e-05
HZD01,소입로_온도_4_Zone_max,1.23172926902771e-05
HZD01,소입로_온도_4_Zone_range,1.116085410118103e-05
HZD01,소입로_온도_2_Zone_max,8.573586344718934e-06
HZD01,솔트조_온도_2_Zone_std,6.790691614151001e-06
HZD01,솔트조_온도_1_Zone_min,4.06865268945694e-06
HZD01,세정기_std,2.624554932117462e-06
HZD01,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
HZD01,건조로_온도_2_Zone_max,1.221221685409546e-06
HZD01,솔트조_온도_1_Zone_mean,8.024404942989349e-07
HZD02,소입로_온도_1_Zone_mean,1.6381773948669433e-05
HZD02,소입로_온도_4_Zone_max,1.23172926902771e-05
HZD02,솔트_컨베이어_온도_2_Zone_std,1.0143885612487793e-05
HZD02,소입로_온도_2_Zone_max,8.573586344718934e-06
HZD02,솔트조_온도_2_Zone_std,8.518913388252259e-06
HZD02,건조로_온도_2_Zone_max,4.884887337684631e-06
HZD02,소입로_온도_4_Zone_range,4.746114015579224e-06
HZD02,솔트조_온도_1_Zone_min,2.0350778102874758e-06
HZD02,세정기_std,1.4325207471847534e-06
HZD02,솔트조_온도_1_Zone_mean,4.938095062971115e-07
HZD03,소입로_온도_1_Zone_mean,1.5030481815338134e-05
HZD03,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZD03,소입로_온도_2_Zone_max,1.0493232011795045e-05
HZD03,솔트조_온도_1_Zone_min,5.063878297805786e-06
HZD03,솔트조_온도_2_Zone_std,4.0498897433280945e-06
HZD03,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZD03,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
HZD03,세정기_std,2.0983535051345824e-06
HZD03,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZD03,소입로_온도_4_Zone_max,1.0223627090454102e-07
HZD04,건조로_온도_2_Zone_max,1.2479939460754394e-05
HZD04,솔트_컨베이어_온도_2_Zone_std,1.0143885612487793e-05
HZD04,소입로_온도_1_Zone_mean,8.586353063583375e-06
HZD04,소입로_온도_4_Zone_range,8.14973533153534e-06
HZD04,소입로_온도_2_Zone_max,5.883996486663818e-06
HZD04,솔트조_온도_1_Zone_min,1.8315698206424713e-06
HZD04,솔트조_온도_2_Zone_std,1.2193256616592408e-06
HZD04,세정기_std,9.981462359428406e-07
HZD04,솔트조_온도_1_Zone_mean,8.592285960912705e-07
HZD04,소입로_온도_4_Zone_max,1.0223627090454102e-07
HZD05,소입로_온도_4_Zone_max,1.23172926902771e-05
HZD05,소입로_온도_1_Zone_mean,1.1832597255706788e-05
HZD05,소입로_온도_4_Zone_range,1.116085410118103e-05
HZD05,솔트_컨베이어_온도_2_Zone_std,1.0143885612487793e-05
HZD05,솔트조_온도_2_Zone_std,8.767066597938538e-06
HZD05,소입로_온도_2_Zone_max,8.573586344718934e-06
HZD05,솔트조_온도_1_Zone_min,1.8315698206424713e-06
HZD05,건조로_온도_2_Zone_max,1.221221685409546e-06
HZD05,세정기_std,9.981462359428406e-07
HZD05,솔트조_온도_1_Zone_mean,8.024404942989349e-07
HZD06,소입로_온도_4_Zone_range,2.3393356800079344e-05
HZD06,소입로_온도_4_Zone_max,9.231452941894532e-06
HZD06,소입로_온도_1_Zone_mean,8.556728363037109e-06
HZD06,소입로_온도_2_Zone_max,6.276262998580933e-06
HZD06,솔트조_온도_1_Zone_min,5.063878297805786e-06
HZD06,솔트조_온도_2_Zone_std,4.031352698802948e-06
HZD06,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZD06,세정기_std,2.0983535051345824e-06
HZD06,건조로_온도_2_Zone_max,1.221221685409546e-06
HZD06,솔트조_온도_1_Zone_mean,8.024404942989349e-07
HZD07,소입로_온도_1_Zone_mean,3.359283447265625e-05
HZD07,솔트_컨베이어_온도_2_Zone_std,1.1834533214569092e-05
HZD07,소입로_온도_4_Zone_range,9.569610357284546e-06
HZD07,솔트조_온도_1_Zone_mean,6.244221925735474e-06
HZD07,소입로_온도_2_Zone_max,2.776321768760681e-06
HZD07,건조로_온도_2_Zone_max,2.142241895198822e-06
HZD07,솔트조_온도_1_Zone_min,1.8315698206424713e-06
HZD07,소입로_온도_4_Zone_max,1.529914289712906e-06
HZD07,세정기_std,9.981462359428406e-07
HZD07,솔트조_온도_2_Zone_std,5.596555396914482e-07
HZD08,소입로_온도_1_Zone_mean,3.359283447265625e-05
HZD08,솔트_컨베이어_온도_2_Zone_std,1.1834533214569092e-05
HZD08,소입로_온도_4_Zone_range,9.569610357284546e-06
HZD08,솔트조_온도_1_Zone_mean,6.244221925735474e-06
HZD08,소입로_온도_2_Zone_max,2.776321768760681e-06
HZD08,건조로_온도_2_Zone_max,2.142241895198822e-06
HZD08,솔트조_온도_1_Zone_min,1.8315698206424713e-06
HZD08,소입로_온도_4_Zone_max,1.529914289712906e-06
HZD08,세정기_std,9.981462359428406e-07
HZD08,솔트조_온도_2_Zone_std,5.596555396914482e-07
HZD09,솔트_컨베이어_온도_2_Zone_std,1.0143885612487793e-05
HZD09,소입로_온도_1_Zone_mean,8.586353063583375e-06
HZD09,건조로_온도_2_Zone_max,8.568967580795288e-06
HZD09,소입로_온도_4_Zone_range,7.675678133964539e-06
HZD09,소입로_온도_2_Zone_max,5.883996486663818e-06
HZD09,솔트조_온도_1_Zone_mean,2.5776857137680053e-06
HZD09,솔트조_온도_1_Zone_min,1.8315698206424713e-06
HZD09,솔트조_온도_2_Zone_std,1.2193256616592408e-06
HZD09,세정기_std,9.981462359428406e-07
HZD09,소입로_온도_4_Zone_max,1.0223627090454102e-07
HZD10,소입로_온도_1_Zone_mean,4.095062255859375e-05
HZD10,소입로_온도_4_Zone_range,1.5990997552871705e-05
HZD10,소입로_온도_4_Zone_max,1.200636625289917e-05
HZD10,솔트_컨베이어_온도_2_Zone_std,1.0143885612487793e-05
HZD10,건조로_온도_2_Zone_max,3.897268176078797e-06
HZD10,소입로_온도_2_Zone_max,2.0779705047607423e-06
HZD10,솔트조_온도_1_Zone_min,1.8315698206424713e-06
HZD10,솔트조_온도_1_Zone_mean,1.4814287424087525e-06
HZD10,세정기_std,9.981462359428406e-07
